scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
22,BOXN Coal Rake (11797),Freight,4500t,60 km/h,EMU Local (12398),Commuter,300t,80 km/h,Nagpur Crossing,Low
23,EMU Local (11080),Commuter,300t,80 km/h,Bhopal Shatabdi (12617),Express,550t,110 km/h,Itarsi Junction,High
24,BOXN Coal Rake (11892),Freight,4500t,60 km/h,EMU Local (11587),Commuter,300t,80 km/h,Kanpur Central,Low
25,EMU Local (11292),Commuter,300t,80 km/h,Bhopal Shatabdi (12217),Express,550t,110 km/h,Nagpur Crossing,Medium
26,Vande Bharat Express (11731),High_Speed,430t,130 km/h,EMU Local (11422),Commuter,300t,80 km/h,Nagpur Crossing,High
27,Vande Bharat Express (12755),High_Speed,430t,130 km/h,BOXN Coal Rake (12123),Freight,4500t,60 km/h,Vijayawada Line,Medium
28,EMU Local (12478),Commuter,300t,80 km/h,BOXN Coal Rake (11693),Freight,4500t,60 km/h,Bhusawal Block,Low
29,BOXN Coal Rake (12918),Freight,4500t,60 km/h,Rajdhani Express (12586),Express,600t,120 km/h,Nagpur Crossing,Low
30,Vande Bharat Express (12529),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12698),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
31,Bhopal Shatabdi (12965),Express,550t,110 km/h,Rajdhani Express (11893),Express,600t,120 km/h,Itarsi Junction,Low
32,Rajdhani Express (12564),Express,600t,120 km/h,Vande Bharat Express (11836),High_Speed,430t,130 km/h,Kanpur Central,Low
33,BOXN Coal Rake (11905),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11871),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
34,Bhopal Shatabdi (12718),Express,550t,110 km/h,EMU Local (12214),Commuter,300t,80 km/h,Bhusawal Block,Medium
35,WAG-12 Heavy Freight (11961),Heavy Freight,6000t,75 km/h,EMU Local (12413),Commuter,300t,80 km/h,Kanpur Central,Medium
36,Rajdhani Express (12893),Express,600t,120 km/h,BOXN Coal Rake (11999),Freight,4500t,60 km/h,Itarsi Junction,Low
37,Rajdhani Express (11299),Express,600t,120 km/h,EMU Local (11725),Commuter,300t,80 km/h,Vijayawada Line,Medium
38,Vande Bharat Express (11482),High_Speed,430t,130 km/h,Rajdhani Express (11282),Express,600t,120 km/h,Vijayawada Line,High
39,Vande Bharat Express (11323),High_Speed,430t,130 km/h,Bhopal Shatabdi (12827),Express,550t,110 km/h,Bhusawal Block,High
40,Vande Bharat Express (12801),High_Speed,430t,130 km/h,Bhopal Shatabdi (12177),Express,550t,110 km/h,Vijayawada Line,Low
41,EMU Local (12863),Commuter,300t,80 km/h,Vande Bharat Express (12793),High_Speed,430t,130 km/h,Nagpur Crossing,Low
42,Rajdhani Express (12993),Express,600t,120 km/h,Bhopal Shatabdi (11612),Express,550t,110 km/h,Itarsi Junction,Low
43,WAG-12 Heavy Freight (12502),Heavy Freight,6000t,75 km/h,EMU Local (11639),Commuter,300t,80 km/h,Nagpur Crossing,High
44,Rajdhani Express (12905),Express,600t,120 km/h,WAG-12 Heavy Freight (12494),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
45,WAG-12 Heavy Freight (12127),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11391),High_Speed,430t,130 km/h,Bhusawal Block,High
46,WAG-12 Heavy Freight (11943),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11319),Express,550t,110 km/h,Vijayawada Line,Low
47,Bhopal Shatabdi (12292),Express,550t,110 km/h,EMU Local (11893),Commuter,300t,80 km/h,Vijayawada Line,Medium
48,Vande Bharat Express (12839),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12932),Heavy Freight,6000t,75 km/h,Itarsi Junction,Medium
49,WAG-12 Heavy Freight (11566),Heavy Freight,6000t,75 km/h,EMU Local (12715),Commuter,300t,80 km/h,Vijayawada Line,Low
50,EMU Local (12910),Commuter,300t,80 km/h,Vande Bharat Express (12087),High_Speed,430t,130 km/h,Kanpur Central,High
51,Rajdhani Express (11708),Express,600t,120 km/h,WAG-12 Heavy Freight (11695),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
52,Vande Bharat Express (11455),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11646),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
53,WAG-12 Heavy Freight (12834),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12748),High_Speed,430t,130 km/h,Itarsi Junction,Medium
54,Rajdhani Express (12555),Express,600t,120 km/h,Vande Bharat Express (11725),High_Speed,430t,130 km/h,Kanpur Central,High
55,EMU Local (12634),Commuter,300t,80 km/h,Rajdhani Express (11701),Express,600t,120 km/h,Bhusawal Block,Low
56,BOXN Coal Rake (11494),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12609),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
57,Rajdhani Express (11745),Express,600t,120 km/h,EMU Local (11879),Commuter,300t,80 km/h,Vijayawada Line,High
58,Rajdhani Express (12942),Express,600t,120 km/h,Bhopal Shatabdi (12420),Express,550t,110 km/h,Bhusawal Block,Low
59,BOXN Coal Rake (11396),Freight,4500t,60 km/h,Bhopal Shatabdi (11297),Express,550t,110 km/h,Nagpur Crossing,High
60,EMU Local (11829),Commuter,300t,80 km/h,BOXN Coal Rake (11594),Freight,4500t,60 km/h,Vijayawada Line,Medium
61,Rajdhani Express (12213),Express,600t,120 km/h,Bhopal Shatabdi (11480),Express,550t,110 km/h,Nagpur Crossing,Medium
62,Rajdhani Express (12819),Express,600t,120 km/h,Bhopal Shatabdi (12138),Express,550t,110 km/h,Nagpur Crossing,High
63,Bhopal Shatabdi (12170),Express,550t,110 km/h,BOXN Coal Rake (11755),Freight,4500t,60 km/h,Vijayawada Line,Medium
64,Vande Bharat Express (11946),High_Speed,430t,130 km/h,Rajdhani Express (12503),Express,600t,120 km/h,Vijayawada Line,High
65,Bhopal Shatabdi (11097),Express,550t,110 km/h,WAG-12 Heavy Freight (11294),Heavy Freight,6000t,75 km/h,Kanpur Central,High
66,Vande Bharat Express (11848),High_Speed,430t,130 km/h,Bhopal Shatabdi (12297),Express,550t,110 km/h,Itarsi Junction,High
67,Bhopal Shatabdi (12517),Express,550t,110 km/h,Rajdhani Express (11479),Express,600t,120 km/h,Kanpur Central,Low
68,EMU Local (11435),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11947),Heavy Freight,6000t,75 km/h,Vijayawada Line,Medium
69,Vande Bharat Express (12812),High_Speed,430t,130 km/h,Bhopal Shatabdi (11887),Express,550t,110 km/h,Kanpur Central,Medium
70,Rajdhani Express (12327),Express,600t,120 km/h,WAG-12 Heavy Freight (11603),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
71,Rajdhani Express (11193),Express,600t,120 km/h,Bhopal Shatabdi (11395),Express,550t,110 km/h,Nagpur Crossing,Medium
72,Bhopal Shatabdi (11792),Express,550t,110 km/h,EMU Local (12542),Commuter,300t,80 km/h,Bhusawal Block,Low
73,WAG-12 Heavy Freight (11635),Heavy Freight,6000t,75 km/h,Rajdhani Express (12498),Express,600t,120 km/h,Kanpur Central,Medium
74,Bhopal Shatabdi (11858),Express,550t,110 km/h,EMU Local (11254),Commuter,300t,80 km/h,Vijayawada Line,Medium
75,Rajdhani Express (12764),Express,600t,120 km/h,EMU Local (12954),Commuter,300t,80 km/h,Bhusawal Block,Medium
76,Rajdhani Express (11573),Express,600t,120 km/h,BOXN Coal Rake (12785),Freight,4500t,60 km/h,Nagpur Crossing,High
77,BOXN Coal Rake (11516),Freight,4500t,60 km/h,Vande Bharat Express (12227),High_Speed,430t,130 km/h,Kanpur Central,Low
78,EMU Local (12756),Commuter,300t,80 km/h,Vande Bharat Express (12918),High_Speed,430t,130 km/h,Kanpur Central,Medium
79,EMU Local (11360),Commuter,300t,80 km/h,Rajdhani Express (12378),Express,600t,120 km/h,Vijayawada Line,Medium
80,WAG-12 Heavy Freight (11263),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12391),High_Speed,430t,130 km/h,Itarsi Junction,Medium
81,Vande Bharat Express (12365),High_Speed,430t,130 km/h,EMU Local (12238),Commuter,300t,80 km/h,Bhusawal Block,Low
82,Vande Bharat Express (11529),High_Speed,430t,130 km/h,BOXN Coal Rake (12443),Freight,4500t,60 km/h,Nagpur Crossing,Medium
83,WAG-12 Heavy Freight (11257),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11569),Freight,4500t,60 km/h,Bhusawal Block,High
84,BOXN Coal Rake (12781),Freight,4500t,60 km/h,Vande Bharat Express (11173),High_Speed,430t,130 km/h,Bhusawal Block,Medium
85,Rajdhani Express (11923),Express,600t,120 km/h,Vande Bharat Express (11785),High_Speed,430t,130 km/h,Itarsi Junction,High
86,Rajdhani Express (12436),Express,600t,120 km/h,Vande Bharat Express (11144),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
87,EMU Local (11213),Commuter,300t,80 km/h,BOXN Coal Rake (11295),Freight,4500t,60 km/h,Itarsi Junction,High
88,Rajdhani Express (12670),Express,600t,120 km/h,Vande Bharat Express (12979),High_Speed,430t,130 km/h,Vijayawada Line,Low
89,WAG-12 Heavy Freight (12513),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12073),Express,550t,110 km/h,Vijayawada Line,Low
90,EMU Local (11884),Commuter,300t,80 km/h,BOXN Coal Rake (12567),Freight,4500t,60 km/h,Bhusawal Block,Low
91,WAG-12 Heavy Freight (11446),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11755),High_Speed,430t,130 km/h,Nagpur Crossing,High
92,BOXN Coal Rake (11122),Freight,4500t,60 km/h,EMU Local (12556),Commuter,300t,80 km/h,Itarsi Junction,Medium
93,WAG-12 Heavy Freight (11222),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (12519),Freight,4500t,60 km/h,Vijayawada Line,High
94,EMU Local (11908),Commuter,300t,80 km/h,Rajdhani Express (11061),Express,600t,120 km/h,Bhusawal Block,Medium
95,WAG-12 Heavy Freight (12000),Heavy Freight,6000t,75 km/h,EMU Local (12030),Commuter,300t,80 km/h,Kanpur Central,Medium
96,BOXN Coal Rake (11567),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11386),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
97,Bhopal Shatabdi (11834),Express,550t,110 km/h,Rajdhani Express (11364),Express,600t,120 km/h,Nagpur Crossing,Medium
98,WAG-12 Heavy Freight (12813),Heavy Freight,6000t,75 km/h,EMU Local (11301),Commuter,300t,80 km/h,Nagpur Crossing,Low
99,Rajdhani Express (11451),Express,600t,120 km/h,WAG-12 Heavy Freight (11419),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
100,BOXN Coal Rake (11265),Freight,4500t,60 km/h,EMU Local (12864),Commuter,300t,80 km/h,Nagpur Crossing,Low
101,BOXN Coal Rake (11356),Freight,4500t,60 km/h,Vande Bharat Express (11978),High_Speed,430t,130 km/h,Itarsi Junction,Low
102,WAG-12 Heavy Freight (12179),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11013),Freight,4500t,60 km/h,Nagpur Crossing,Medium
103,BOXN Coal Rake (11431),Freight,4500t,60 km/h,Rajdhani Express (12188),Express,600t,120 km/h,Kanpur Central,High
104,Vande Bharat Express (12654),High_Speed,430t,130 km/h,Rajdhani Express (12588),Express,600t,120 km/h,Bhusawal Block,Medium
105,Rajdhani Express (11343),Express,600t,120 km/h,WAG-12 Heavy Freight (11442),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
106,Rajdhani Express (12485),Express,600t,120 km/h,Vande Bharat Express (12609),High_Speed,430t,130 km/h,Vijayawada Line,High
107,WAG-12 Heavy Freight (12290),Heavy Freight,6000t,75 km/h,EMU Local (12197),Commuter,300t,80 km/h,Nagpur Crossing,Low
108,Bhopal Shatabdi (12921),Express,550t,110 km/h,WAG-12 Heavy Freight (12403),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
109,Bhopal Shatabdi (11482),Express,550t,110 km/h,Rajdhani Express (12795),Express,600t,120 km/h,Itarsi Junction,High
110,Bhopal Shatabdi (11823),Express,550t,110 km/h,Vande Bharat Express (11414),High_Speed,430t,130 km/h,Bhusawal Block,Low
111,Bhopal Shatabdi (11449),Express,550t,110 km/h,Rajdhani Express (12238),Express,600t,120 km/h,Vijayawada Line,High
112,Rajdhani Express (11452),Express,600t,120 km/h,BOXN Coal Rake (11621),Freight,4500t,60 km/h,Kanpur Central,Medium
113,Vande Bharat Express (12012),High_Speed,430t,130 km/h,Bhopal Shatabdi (11035),Express,550t,110 km/h,Vijayawada Line,Low
114,Bhopal Shatabdi (12165),Express,550t,110 km/h,EMU Local (12583),Commuter,300t,80 km/h,Kanpur Central,High
115,WAG-12 Heavy Freight (12962),Heavy Freight,6000t,75 km/h,EMU Local (11208),Commuter,300t,80 km/h,Kanpur Central,Low
116,WAG-12 Heavy Freight (11410),Heavy Freight,6000t,75 km/h,Vande Bharat Express (12988),High_Speed,430t,130 km/h,Nagpur Crossing,High
117,WAG-12 Heavy Freight (11548),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11623),Express,550t,110 km/h,Vijayawada Line,Medium
118,Vande Bharat Express (12254),High_Speed,430t,130 km/h,EMU Local (12981),Commuter,300t,80 km/h,Bhusawal Block,Low
119,Vande Bharat Express (12488),High_Speed,430t,130 km/h,Rajdhani Express (12792),Express,600t,120 km/h,Vijayawada Line,Medium
120,Rajdhani Express (12121),Express,600t,120 km/h,EMU Local (11595),Commuter,300t,80 km/h,Vijayawada Line,Low
121,BOXN Coal Rake (11159),Freight,4500t,60 km/h,EMU Local (12486),Commuter,300t,80 km/h,Vijayawada Line,Medium
122,Vande Bharat Express (12792),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12604),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
123,EMU Local (12840),Commuter,300t,80 km/h,BOXN Coal Rake (11469),Freight,4500t,60 km/h,Itarsi Junction,Low
124,EMU Local (12849),Commuter,300t,80 km/h,Rajdhani Express (12595),Express,600t,120 km/h,Itarsi Junction,Low
125,Bhopal Shatabdi (12221),Express,550t,110 km/h,Vande Bharat Express (11033),High_Speed,430t,130 km/h,Bhusawal Block,Medium
126,Bhopal Shatabdi (11242),Express,550t,110 km/h,Rajdhani Express (11412),Express,600t,120 km/h,Nagpur Crossing,High
127,Rajdhani Express (12880),Express,600t,120 km/h,EMU Local (11154),Commuter,300t,80 km/h,Bhusawal Block,Medium
128,WAG-12 Heavy Freight (11384),Heavy Freight,6000t,75 km/h,Rajdhani Express (12727),Express,600t,120 km/h,Vijayawada Line,High
129,EMU Local (11444),Commuter,300t,80 km/h,Bhopal Shatabdi (11680),Express,550t,110 km/h,Vijayawada Line,Medium
130,WAG-12 Heavy Freight (12673),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11989),Freight,4500t,60 km/h,Vijayawada Line,High
131,EMU Local (12491),Commuter,300t,80 km/h,BOXN Coal Rake (12941),Freight,4500t,60 km/h,Vijayawada Line,Low
132,BOXN Coal Rake (12913),Freight,4500t,60 km/h,Bhopal Shatabdi (12680),Express,550t,110 km/h,Bhusawal Block,Medium
133,EMU Local (11403),Commuter,300t,80 km/h,Vande Bharat Express (12087),High_Speed,430t,130 km/h,Vijayawada Line,Low
134,BOXN Coal Rake (11059),Freight,4500t,60 km/h,Vande Bharat Express (11322),High_Speed,430t,130 km/h,Nagpur Crossing,High
135,BOXN Coal Rake (12670),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12941),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
136,EMU Local (11591),Commuter,300t,80 km/h,WAG-12 Heavy Freight (12589),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
137,Vande Bharat Express (11107),High_Speed,430t,130 km/h,BOXN Coal Rake (12667),Freight,4500t,60 km/h,Bhusawal Block,Low
138,Vande Bharat Express (11421),High_Speed,430t,130 km/h,Rajdhani Express (12621),Express,600t,120 km/h,Bhusawal Block,High
139,WAG-12 Heavy Freight (11015),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11148),Express,550t,110 km/h,Itarsi Junction,Low
140,EMU Local (12724),Commuter,300t,80 km/h,BOXN Coal Rake (12829),Freight,4500t,60 km/h,Nagpur Crossing,High
141,BOXN Coal Rake (12589),Freight,4500t,60 km/h,Rajdhani Express (12526),Express,600t,120 km/h,Bhusawal Block,Low
142,WAG-12 Heavy Freight (12451),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (11186),Express,550t,110 km/h,Itarsi Junction,Low
143,Vande Bharat Express (12108),High_Speed,430t,130 km/h,Rajdhani Express (12349),Express,600t,120 km/h,Bhusawal Block,Low
144,BOXN Coal Rake (12604),Freight,4500t,60 km/h,Vande Bharat Express (11865),High_Speed,430t,130 km/h,Vijayawada Line,High
145,Bhopal Shatabdi (11003),Express,550t,110 km/h,Vande Bharat Express (11633),High_Speed,430t,130 km/h,Itarsi Junction,High
146,EMU Local (11588),Commuter,300t,80 km/h,Bhopal Shatabdi (11334),Express,550t,110 km/h,Bhusawal Block,Low
147,BOXN Coal Rake (11255),Freight,4500t,60 km/h,Rajdhani Express (11961),Express,600t,120 km/h,Vijayawada Line,High
148,Vande Bharat Express (11777),High_Speed,430t,130 km/h,Rajdhani Express (12904),Express,600t,120 km/h,Kanpur Central,Low
149,BOXN Coal Rake (11242),Freight,4500t,60 km/h,Rajdhani Express (11822),Express,600t,120 km/h,Vijayawada Line,High
150,BOXN Coal Rake (11937),Freight,4500t,60 km/h,Rajdhani Express (12859),Express,600t,120 km/h,Kanpur Central,Low
151,WAG-12 Heavy Freight (11355),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11650),Freight,4500t,60 km/h,Vijayawada Line,High
152,BOXN Coal Rake (11256),Freight,4500t,60 km/h,Rajdhani Express (12111),Express,600t,120 km/h,Vijayawada Line,High
153,EMU Local (12468),Commuter,300t,80 km/h,BOXN Coal Rake (11448),Freight,4500t,60 km/h,Itarsi Junction,High
154,BOXN Coal Rake (12431),Freight,4500t,60 km/h,Rajdhani Express (12944),Express,600t,120 km/h,Itarsi Junction,Medium
155,Bhopal Shatabdi (12456),Express,550t,110 km/h,Vande Bharat Express (11602),High_Speed,430t,130 km/h,Kanpur Central,Medium
156,Bhopal Shatabdi (11562),Express,550t,110 km/h,BOXN Coal Rake (11692),Freight,4500t,60 km/h,Itarsi Junction,Low
157,Rajdhani Express (12697),Express,600t,120 km/h,Vande Bharat Express (12907),High_Speed,430t,130 km/h,Nagpur Crossing,High
158,BOXN Coal Rake (11433),Freight,4500t,60 km/h,Rajdhani Express (11594),Express,600t,120 km/h,Vijayawada Line,Low
159,Bhopal Shatabdi (12356),Express,550t,110 km/h,Vande Bharat Express (11691),High_Speed,430t,130 km/h,Itarsi Junction,High
160,Rajdhani Express (12131),Express,600t,120 km/h,EMU Local (12937),Commuter,300t,80 km/h,Nagpur Crossing,High
161,Bhopal Shatabdi (11763),Express,550t,110 km/h,Vande Bharat Express (12817),High_Speed,430t,130 km/h,Bhusawal Block,High
162,Rajdhani Express (11829),Express,600t,120 km/h,EMU Local (12411),Commuter,300t,80 km/h,Kanpur Central,Medium
163,Bhopal Shatabdi (12521),Express,550t,110 km/h,Rajdhani Express (11831),Express,600t,120 km/h,Bhusawal Block,Medium
164,Vande Bharat Express (12051),High_Speed,430t,130 km/h,EMU Local (11574),Commuter,300t,80 km/h,Nagpur Crossing,Medium
165,BOXN Coal Rake (12759),Freight,4500t,60 km/h,Vande Bharat Express (12841),High_Speed,430t,130 km/h,Bhusawal Block,Medium
166,Vande Bharat Express (12505),High_Speed,430t,130 km/h,BOXN Coal Rake (11106),Freight,4500t,60 km/h,Bhusawal Block,High
167,EMU Local (12008),Commuter,300t,80 km/h,Bhopal Shatabdi (11911),Express,550t,110 km/h,Bhusawal Block,Medium
168,Bhopal Shatabdi (11621),Express,550t,110 km/h,Rajdhani Express (11515),Express,600t,120 km/h,Itarsi Junction,Medium
169,BOXN Coal Rake (11026),Freight,4500t,60 km/h,Rajdhani Express (11471),Express,600t,120 km/h,Vijayawada Line,High
170,Bhopal Shatabdi (12899),Express,550t,110 km/h,BOXN Coal Rake (11840),Freight,4500t,60 km/h,Vijayawada Line,High
171,Vande Bharat Express (11884),High_Speed,430t,130 km/h,Rajdhani Express (12342),Express,600t,120 km/h,Itarsi Junction,Medium
172,BOXN Coal Rake (11729),Freight,4500t,60 km/h,Bhopal Shatabdi (11725),Express,550t,110 km/h,Itarsi Junction,Medium
173,Vande Bharat Express (11224),High_Speed,430t,130 km/h,EMU Local (11714),Commuter,300t,80 km/h,Bhusawal Block,High
174,EMU Local (12399),Commuter,300t,80 km/h,Vande Bharat Express (12403),High_Speed,430t,130 km/h,Itarsi Junction,Low
175,Vande Bharat Express (11633),High_Speed,430t,130 km/h,Rajdhani Express (11752),Express,600t,120 km/h,Bhusawal Block,Low
176,Bhopal Shatabdi (11482),Express,550t,110 km/h,WAG-12 Heavy Freight (11037),Heavy Freight,6000t,75 km/h,Kanpur Central,High
177,Vande Bharat Express (12623),High_Speed,430t,130 km/h,BOXN Coal Rake (12371),Freight,4500t,60 km/h,Nagpur Crossing,High
178,Vande Bharat Express (12804),High_Speed,430t,130 km/h,BOXN Coal Rake (11278),Freight,4500t,60 km/h,Kanpur Central,Medium
179,Bhopal Shatabdi (11761),Express,550t,110 km/h,Vande Bharat Express (12122),High_Speed,430t,130 km/h,Vijayawada Line,High
180,WAG-12 Heavy Freight (11950),Heavy Freight,6000t,75 km/h,Rajdhani Express (11984),Express,600t,120 km/h,Nagpur Crossing,High
181,Vande Bharat Express (11063),High_Speed,430t,130 km/h,EMU Local (11140),Commuter,300t,80 km/h,Bhusawal Block,Low
182,EMU Local (11679),Commuter,300t,80 km/h,Vande Bharat Express (12332),High_Speed,430t,130 km/h,Vijayawada Line,Low
183,BOXN Coal Rake (12758),Freight,4500t,60 km/h,Vande Bharat Express (11010),High_Speed,430t,130 km/h,Vijayawada Line,Medium
184,BOXN Coal Rake (12926),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12874),Heavy Freight,6000t,75 km/h,Bhusawal Block,Low
185,EMU Local (11483),Commuter,300t,80 km/h,BOXN Coal Rake (11504),Freight,4500t,60 km/h,Nagpur Crossing,High
186,EMU Local (11751),Commuter,300t,80 km/h,Vande Bharat Express (11925),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
187,WAG-12 Heavy Freight (12148),Heavy Freight,6000t,75 km/h,EMU Local (12449),Commuter,300t,80 km/h,Nagpur Crossing,Medium
188,BOXN Coal Rake (11502),Freight,4500t,60 km/h,Vande Bharat Express (12669),High_Speed,430t,130 km/h,Kanpur Central,Low
189,Rajdhani Express (12413),Express,600t,120 km/h,WAG-12 Heavy Freight (11798),Heavy Freight,6000t,75 km/h,Itarsi Junction,High
190,BOXN Coal Rake (11577),Freight,4500t,60 km/h,EMU Local (11739),Commuter,300t,80 km/h,Kanpur Central,Low
191,EMU Local (11770),Commuter,300t,80 km/h,BOXN Coal Rake (11210),Freight,4500t,60 km/h,Nagpur Crossing,Low
192,EMU Local (12009),Commuter,300t,80 km/h,Rajdhani Express (11181),Express,600t,120 km/h,Vijayawada Line,Low
193,BOXN Coal Rake (11601),Freight,4500t,60 km/h,Bhopal Shatabdi (11146),Express,550t,110 km/h,Vijayawada Line,Low
194,EMU Local (12776),Commuter,300t,80 km/h,Vande Bharat Express (11602),High_Speed,430t,130 km/h,Kanpur Central,Low
195,EMU Local (12106),Commuter,300t,80 km/h,Vande Bharat Express (12810),High_Speed,430t,130 km/h,Kanpur Central,Medium
196,Bhopal Shatabdi (11298),Express,550t,110 km/h,WAG-12 Heavy Freight (12519),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
197,BOXN Coal Rake (11882),Freight,4500t,60 km/h,WAG-12 Heavy Freight (12510),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
198,BOXN Coal Rake (11509),Freight,4500t,60 km/h,Vande Bharat Express (12962),High_Speed,430t,130 km/h,Nagpur Crossing,Medium
199,BOXN Coal Rake (12407),Freight,4500t,60 km/h,Rajdhani Express (12189),Express,600t,120 km/h,Bhusawal Block,Medium
200,BOXN Coal Rake (11306),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11635),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
201,BOXN Coal Rake (11921),Freight,4500t,60 km/h,WAG-12 Heavy Freight (11648),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
